,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,종목명,PER,PBR,시가총액
259,036570,(주)엔씨소프트,0.0790122039664195,4.650077926324612,8.546912589263837,571.67,24.73,0.1518800186801579,15.566822526895212,엔씨소프트,50.21,7.67,19165861.0
260,008260,(주)엔아이스틸,-1.0508300563702226,-1.1019919780462908,0.536144961972919,39.38,136.64,0.4298990633063446,48.02912502315044,NI스틸,16.12,0.93,103246.0
261,217820,(주)엔에스,0.1301376340018741,0.8307914610468778,1.6727583252828868,135.48,138.07,0.3860129701864178,25.42326533374313,엔에스,14.86,3.13,116323.0
262,156100,(주)엘앤케이바이오메드,0.0286231384725138,-0.0,20.87361389047465,223.97,36.78,0.9757995687447488,79.22034860605253,엘앤케이바이오,0.0,15.73,493412.0
263,006260,(주)엘에스,-0.059222469057442,-1.6050182645803832,13.30763151067591,226.8,9.33,0.4048959261542207,38.66025407377135,LS,75.11,0.7,2205700.0
264,093050,(주)엘에프,0.5843697837573263,0.7528868002633012,0.4284318093296509,316.3,35.85,0.1986194888228556,22.34673046837126,LF,7.07,0.39,478074.0
265,108320,(주)엘엑스세미콘,0.3324281461962621,-3.658962510786615,1.0582537312628952,299.33,41.22,0.452796790773659,61.56379530885008,실리콘웍스,31.9,2.6,1229581.0
266,108320,(주)엘엑스세미콘,0.3324281461962621,-3.658962510786615,1.0582537312628952,299.33,41.22,0.452796790773659,61.56379530885008,실리콘웍스,31.9,2.6,1229581.0
267,001120,(주)엘엑스인터내셔널,-0.3810520526673353,-2.0469444530639924,0.3794821696502501,130.85,90.67,0.5655462770352356,73.53676030868311,LG상사,43.17,1.06,1236444.0
268,108670,(주)엘엑스하우시스,-0.4732280138326957,-1.585060032533576,0.2935678853538018,120.12,149.64,0.3992005209886349,47.798638639896886,LG하우시스,73.66,0.93,762252.0
269,051900,(주)엘지생활건강,0.0051168813161178,3.059997583929285,5.549828661935833,133.23,20.23,0.1573962642607412,22.60168009220209,LG생활건강,33.81,6.71,24520569.0
