,종목코드,시장구분
612,344050,KOSDAQ
613,017000,KOSDAQ
614,012790,KOSDAQ
615,138070,KOSDAQ
616,226330,KOSDAQ
617,333050,KOSDAQ
618,366330,KOSDAQ
619,393360,KOSDAQ
620,056700,KOSDAQ
621,187270,KOSDAQ
622,243840,KOSDAQ
623,257720,KOSDAQ
624,222800,KOSDAQ
625,036710,KOSDAQ
626,160980,KOSDAQ
627,356890,KOSDAQ
628,217330,KOSDAQ
629,010280,KOSDAQ
630,208640,KOSDAQ
631,222420,KOSDAQ
632,037760,KOSDAQ
633,136510,KOSDAQ
634,099320,KOSDAQ
635,049960,KOSDAQ
636,050890,KOSDAQ
637,066790,KOSDAQ
638,222080,KOSDAQ
639,352480,KOSDAQ
640,264660,KOSDAQ
641,352700,KOSDAQ
642,297090,KOSDAQ
643,115530,KOSDAQ
644,225330,KOSDAQ
645,115480,KOSDAQ
646,376290,KOSDAQ
647,189330,KOSDAQ
648,096530,KOSDAQ
649,900120,KOSDAQ
650,101240,KOSDAQ
651,060590,KOSDAQ
652,260930,KOSDAQ
653,013990,KOSDAQ
654,123860,KOSDAQ
655,025980,KOSDAQ
656,050320,KOSDAQ
657,058220,KOSDAQ
658,125210,KOSDAQ
659,357580,KOSDAQ
660,052710,KOSDAQ
661,074430,KOSDAQ
662,092040,KOSDAQ
663,083930,KOSDAQ
664,149950,KOSDAQ
665,036010,KOSDAQ
666,050860,KOSDAQ
667,246720,KOSDAQ
668,067390,KOSDAQ
669,159010,KOSDAQ
670,127710,KOSDAQ
671,154030,KOSDAQ
672,227610,KOSDAQ
673,143160,KOSDAQ
674,054800,KOSDAQ
675,332370,KOSDAQ
676,339950,KOSDAQ
677,099190,KOSDAQ
678,289010,KOSDAQ
679,214430,KOSDAQ
680,040910,KOSDAQ
681,068940,KOSDAQ
682,052860,KOSDAQ
683,069920,KOSDAQ
684,038880,KOSDAQ
685,307180,KOSDAQ
686,101390,KOSDAQ
687,078860,KOSDAQ
688,114810,KOSDAQ
689,031310,KOSDAQ
690,185490,KOSDAQ
691,059100,KOSDAQ
692,262840,KOSDAQ
693,175250,KOSDAQ
694,052460,KOSDAQ
695,119830,KOSDAQ
696,052770,KOSDAQ
697,124500,KOSDAQ
698,084850,KOSDAQ
699,114840,KOSDAQ
700,027360,KOSDAQ
701,032080,KOSDAQ
702,013310,KOSDAQ
703,059120,KOSDAQ
704,158430,KOSDAQ
705,067160,KOSDAQ
706,001540,KOSDAQ
707,053800,KOSDAQ
708,065660,KOSDAQ
709,297570,KOSDAQ
710,260660,KOSDAQ
711,131370,KOSDAQ
712,140670,KOSDAQ
713,096610,KOSDAQ
714,061040,KOSDAQ
715,148250,KOSDAQ
716,347860,KOSDAQ
717,196170,KOSDAQ
718,123750,KOSDAQ
719,085810,KOSDAQ
720,117670,KOSDAQ
721,291650,KOSDAQ
722,293780,KOSDAQ
723,196300,KOSDAQ
724,310200,KOSDAQ
725,900100,KOSDAQ
726,205500,KOSDAQ
727,052790,KOSDAQ
728,290740,KOSDAQ
729,238090,KOSDAQ
730,092600,KOSDAQ
731,129890,KOSDAQ
732,174900,KOSDAQ
733,255440,KOSDAQ
734,060230,KOSDAQ
735,030960,KOSDAQ
736,102120,KOSDAQ
737,238120,KOSDAQ
738,019990,KOSDAQ
739,270660,KOSDAQ
740,038680,KOSDAQ
741,217480,KOSDAQ
742,121890,KOSDAQ
743,097780,KOSDAQ
744,042110,KOSDAQ
745,298060,KOSDAQ
746,065420,KOSDAQ
747,103230,KOSDAQ
748,260970,KOSDAQ
749,101490,KOSDAQ
750,095910,KOSDAQ
751,275630,KOSDAQ
752,031330,KOSDAQ
753,060540,KOSDAQ
754,056190,KOSDAQ
755,080000,KOSDAQ
756,214310,KOSDAQ
757,041510,KOSDAQ
758,007820,KOSDAQ
759,109610,KOSDAQ
760,306040,KOSDAQ
761,096630,KOSDAQ
762,069510,KOSDAQ
763,041910,KOSDAQ
764,234300,KOSDAQ
765,039440,KOSDAQ
766,098660,KOSDAQ
767,052020,KOSDAQ
768,237690,KOSDAQ
769,050760,KOSDAQ
770,288620,KOSDAQ
771,317830,KOSDAQ
772,058610,KOSDAQ
773,043340,KOSDAQ
774,187660,KOSDAQ
775,054630,KOSDAQ
776,200710,KOSDAQ
777,096690,KOSDAQ
778,298380,KOSDAQ
779,203400,KOSDAQ
780,195990,KOSDAQ
781,003800,KOSDAQ
782,088800,KOSDAQ
783,241840,KOSDAQ
784,312610,KOSDAQ
785,072990,KOSDAQ
786,227100,KOSDAQ
787,176440,KOSDAQ
788,028300,KOSDAQ
789,067630,KOSDAQ
790,047920,KOSDAQ
791,043220,KOSDAQ
792,239610,KOSDAQ
793,353070,KOSDAQ
794,353060,KOSDAQ
795,044780,KOSDAQ
796,357230,KOSDAQ
797,071670,KOSDAQ
798,045660,KOSDAQ
799,224110,KOSDAQ
800,230980,KOSDAQ
801,021080,KOSDAQ
802,089530,KOSDAQ
803,200470,KOSDAQ
804,262260,KOSDAQ
805,109960,KOSDAQ
806,089970,KOSDAQ
807,230240,KOSDAQ
808,064510,KOSDAQ
809,230360,KOSDAQ
810,038870,KOSDAQ
811,128540,KOSDAQ
812,086520,KOSDAQ
813,247540,KOSDAQ
814,383310,KOSDAQ
815,038110,KOSDAQ
816,073540,KOSDAQ
817,064850,KOSDAQ
818,064090,KOSDAQ
819,036810,KOSDAQ
820,173940,KOSDAQ
821,083500,KOSDAQ
822,054940,KOSDAQ
823,950130,KOSDAQ
824,205100,KOSDAQ
825,070300,KOSDAQ
826,092870,KOSDAQ
827,317870,KOSDAQ
828,067570,KOSDAQ
829,236810,KOSDAQ
830,333620,KOSDAQ
831,101400,KOSDAQ
832,217820,KOSDAQ
833,031860,KOSDAQ
834,359090,KOSDAQ
835,365590,KOSDAQ
836,391060,KOSDAQ
837,391710,KOSDAQ
838,265740,KOSDAQ
839,354200,KOSDAQ
840,208860,KOSDAQ
841,183490,KOSDAQ
842,182400,KOSDAQ
843,348370,KOSDAQ
844,069410,KOSDAQ
845,227950,KOSDAQ
846,291230,KOSDAQ
847,198080,KOSDAQ
848,048830,KOSDAQ
849,096870,KOSDAQ
850,376190,KOSDAQ
851,061970,KOSDAQ
852,138690,KOSDAQ
853,290650,KOSDAQ
854,066970,KOSDAQ
855,156100,KOSDAQ
856,073110,KOSDAQ
857,083310,KOSDAQ
858,037950,KOSDAQ
859,170920,KOSDAQ
860,058630,KOSDAQ
861,058970,KOSDAQ
862,019590,KOSDAQ
863,169330,KOSDAQ
864,179290,KOSDAQ
865,009780,KOSDAQ
866,123040,KOSDAQ
867,323230,KOSDAQ
868,032790,KOSDAQ
869,033160,KOSDAQ
870,347890,KOSDAQ
871,033310,KOSDAQ
872,259630,KOSDAQ
873,065150,KOSDAQ
874,115960,KOSDAQ
875,090740,KOSDAQ
876,060850,KOSDAQ
877,007530,KOSDAQ
878,143540,KOSDAQ
879,036560,KOSDAQ
880,265560,KOSDAQ
881,036000,KOSDAQ
882,250930,KOSDAQ
883,053280,KOSDAQ
884,122640,KOSDAQ
885,900300,KOSDAQ
886,045060,KOSDAQ
887,080520,KOSDAQ
888,039830,KOSDAQ
889,322310,KOSDAQ
890,046120,KOSDAQ
891,014940,KOSDAQ
892,065500,KOSDAQ
893,010470,KOSDAQ
894,352910,KOSDAQ
895,053980,KOSDAQ
896,052420,KOSDAQ
897,241790,KOSDAQ
898,039200,KOSDAQ
899,226400,KOSDAQ
900,031510,KOSDAQ
901,048260,KOSDAQ
902,138080,KOSDAQ
903,080580,KOSDAQ
904,067170,KOSDAQ
905,173130,KOSDAQ
906,049480,KOSDAQ
907,309930,KOSDAQ
908,244460,KOSDAQ
909,226950,KOSDAQ
910,057540,KOSDAQ
911,082210,KOSDAQ
912,109080,KOSDAQ
913,153710,KOSDAQ
914,321820,KOSDAQ
915,122990,KOSDAQ
916,232140,KOSDAQ
917,065530,KOSDAQ
918,067900,KOSDAQ
919,155650,KOSDAQ
920,273640,KOSDAQ
921,251370,KOSDAQ
922,066430,KOSDAQ
923,193250,KOSDAQ
924,273060,KOSDAQ
925,019210,KOSDAQ
926,122870,KOSDAQ
927,332570,KOSDAQ
928,079000,KOSDAQ
929,032820,KOSDAQ
930,041190,KOSDAQ
931,115440,KOSDAQ
932,046970,KOSDAQ
933,082850,KOSDAQ
934,215360,KOSDAQ
935,072470,KOSDAQ
936,073560,KOSDAQ
937,153490,KOSDAQ
938,037400,KOSDAQ
939,101170,KOSDAQ
940,066590,KOSDAQ
941,103840,KOSDAQ
942,046940,KOSDAQ
943,215380,KOSDAQ
944,065680,KOSDAQ
945,018620,KOSDAQ
946,307280,KOSDAQ
947,053080,KOSDAQ
948,032940,KOSDAQ
949,240810,KOSDAQ
950,074600,KOSDAQ
951,104830,KOSDAQ
952,014190,KOSDAQ
953,131390,KOSDAQ
954,030530,KOSDAQ
955,012620,KOSDAQ
956,382840,KOSDAQ
957,376980,KOSDAQ
958,008370,KOSDAQ
959,008290,KOSDAQ
960,101160,KOSDAQ
961,095270,KOSDAQ
962,065950,KOSDAQ
963,076080,KOSDAQ
964,196700,KOSDAQ
965,069080,KOSDAQ
966,053580,KOSDAQ
967,071460,KOSDAQ
968,044340,KOSDAQ
969,330350,KOSDAQ
970,348350,KOSDAQ
971,112040,KOSDAQ
972,101730,KOSDAQ
973,065370,KOSDAQ
974,038620,KOSDAQ
975,299900,KOSDAQ
976,036090,KOSDAQ
977,136540,KOSDAQ
978,320000,KOSDAQ
979,097800,KOSDAQ
980,192390,KOSDAQ
981,313760,KOSDAQ
982,900340,KOSDAQ
983,036200,KOSDAQ
984,018000,KOSDAQ
985,203450,KOSDAQ
986,011320,KOSDAQ
987,086390,KOSDAQ
988,241690,KOSDAQ
989,142210,KOSDAQ
990,048430,KOSDAQ
991,206650,KOSDAQ
992,089850,KOSDAQ
993,032620,KOSDAQ
994,264450,KOSDAQ
995,078070,KOSDAQ
996,024800,KOSDAQ
997,054930,KOSDAQ
998,069330,KOSDAQ
999,049520,KOSDAQ
1000,313750,KOSDAQ
1001,336060,KOSDAQ
1002,367460,KOSDAQ
1003,367480,KOSDAQ
1004,056090,KOSDAQ
1005,263770,KOSDAQ
1006,340930,KOSDAQ
1007,023410,KOSDAQ
1008,056080,KOSDAQ
1009,373340,KOSDAQ
1010,388800,KOSDAQ
1011,084370,KOSDAQ
1012,178780,KOSDAQ
1013,179900,KOSDAQ
1014,263050,KOSDAQ
1015,191410,KOSDAQ
1016,072770,KOSDAQ
1017,039020,KOSDAQ
1018,067920,KOSDAQ
1019,044960,KOSDAQ
1020,303530,KOSDAQ
1021,302430,KOSDAQ
1022,073490,KOSDAQ
1023,215790,KOSDAQ
1024,246960,KOSDAQ
1025,088390,KOSDAQ
1026,272290,KOSDAQ
1027,053350,KOSDAQ
1028,258610,KOSDAQ
