,종목코드,시장구분
732,284740,KOSPI
733,015590,KOSPI
734,264900,KOSPI
735,26490K,KOSPI
736,005740,KOSPI
737,005745,KOSPI
738,259960,KOSPI
739,020120,KOSPI
740,039490,KOSPI
741,014580,KOSPI
742,015890,KOSPI
743,006890,KOSPI
744,003240,KOSPI
745,011280,KOSPI
746,004100,KOSPI
747,004105,KOSPI
748,009410,KOSPI
749,009415,KOSPI
750,001420,KOSPI
751,007980,KOSPI
752,055490,KOSPI
753,078000,KOSPI
754,214420,KOSPI
755,019180,KOSPI
756,363280,KOSPI
757,36328K,KOSPI
758,091810,KOSPI
759,004870,KOSPI
760,005690,KOSPI
761,036580,KOSPI
762,004720,KOSPI
763,028670,KOSPI
764,010820,KOSPI
765,016800,KOSPI
766,001020,KOSPI
767,090080,KOSPI
768,010770,KOSPI
769,058430,KOSPI
770,047050,KOSPI
771,003670,KOSPI
772,007630,KOSPI
773,017810,KOSPI
774,103140,KOSPI
775,005810,KOSPI
776,950210,KOSPI
777,086790,KOSPI
778,293480,KOSPI
779,039130,KOSPI
780,172580,KOSPI
781,153360,KOSPI
782,352820,KOSPI
783,071090,KOSPI
784,019490,KOSPI
785,000080,KOSPI
786,000087,KOSPI
787,000140,KOSPI
788,000145,KOSPI
789,152550,KOSPI
790,036460,KOSPI
791,005430,KOSPI
792,071050,KOSPI
793,071055,KOSPI
794,010040,KOSPI
795,025540,KOSPI
796,004090,KOSPI
797,002200,KOSPI
798,002960,KOSPI
799,000240,KOSPI
800,123890,KOSPI
801,015760,KOSPI
802,006200,KOSPI
803,009540,KOSPI
804,023350,KOSPI
805,025890,KOSPI
806,000970,KOSPI
807,104700,KOSPI
808,017960,KOSPI
809,161890,KOSPI
810,024720,KOSPI
811,161390,KOSPI
812,034830,KOSPI
813,007280,KOSPI
814,168490,KOSPI
815,010100,KOSPI
816,047810,KOSPI
817,123690,KOSPI
818,003350,KOSPI
819,011500,KOSPI
820,002390,KOSPI
821,014790,KOSPI
822,060980,KOSPI
823,053690,KOSPI
824,042700,KOSPI
825,008930,KOSPI
826,128940,KOSPI
827,009240,KOSPI
828,020000,KOSPI
829,003680,KOSPI
830,105630,KOSPI
831,069640,KOSPI
832,016450,KOSPI
833,010420,KOSPI
834,009180,KOSPI
835,213500,KOSPI
836,014680,KOSPI
837,004710,KOSPI
838,004150,KOSPI
839,025750,KOSPI
840,004960,KOSPI
841,011700,KOSPI
842,001750,KOSPI
843,001755,KOSPI
844,018880,KOSPI
845,009420,KOSPI
846,014130,KOSPI
847,300720,KOSPI
848,002220,KOSPI
849,006390,KOSPI
850,003300,KOSPI
851,051600,KOSPI
852,052690,KOSPI
853,130660,KOSPI
854,002320,KOSPI
855,097230,KOSPI
856,003480,KOSPI
857,180640,KOSPI
858,18064K,KOSPI
859,005110,KOSPI
860,009460,KOSPI
861,372910,KOSPI
862,000880,KOSPI
863,00088K,KOSPI
864,088350,KOSPI
865,000370,KOSPI
866,009830,KOSPI
867,009835,KOSPI
868,272210,KOSPI
869,012450,KOSPI
870,000885,KOSPI
871,003530,KOSPI
872,003535,KOSPI
873,195870,KOSPI
874,101530,KOSPI
875,143210,KOSPI
876,000720,KOSPI
877,267270,KOSPI
878,000725,KOSPI
879,005440,KOSPI
880,086280,KOSPI
881,042670,KOSPI
882,064350,KOSPI
883,079430,KOSPI
884,012330,KOSPI
885,010620,KOSPI
886,069960,KOSPI
887,004560,KOSPI
888,004565,KOSPI
889,004310,KOSPI
890,322000,KOSPI
891,017800,KOSPI
892,307950,KOSPI
893,011210,KOSPI
894,267260,KOSPI
895,004020,KOSPI
896,329180,KOSPI
897,267250,KOSPI
898,005380,KOSPI
899,005387,KOSPI
900,005389,KOSPI
901,005385,KOSPI
902,001500,KOSPI
903,011760,KOSPI
904,227840,KOSPI
905,126560,KOSPI
906,001450,KOSPI
907,057050,KOSPI
908,093240,KOSPI
909,003010,KOSPI
910,111110,KOSPI
911,008770,KOSPI
912,008775,KOSPI
913,002460,KOSPI
914,378850,KOSPI
915,241590,KOSPI
916,006060,KOSPI
917,013520,KOSPI
918,010690,KOSPI
919,133820,KOSPI
920,010660,KOSPI
921,000850,KOSPI
922,016580,KOSPI
923,032560,KOSPI
924,004800,KOSPI
925,094280,KOSPI
926,298040,KOSPI
927,298050,KOSPI
928,298020,KOSPI
929,298000,KOSPI
930,093370,KOSPI
931,081660,KOSPI
932,005870,KOSPI
933,079980,KOSPI
934,005010,KOSPI
935,069260,KOSPI
936,000540,KOSPI
937,000547,KOSPI
938,000545,KOSPI
939,003280,KOSPI
