,종목코드,업종명
1256,196450,의료·정밀기기
1257,029960,기타서비스
1258,102940,제약
1259,950160,제약
1260,033290,유통
1261,056360,통신장비
1262,282880,기계·장비
1263,121850,IT부품
1264,015710,통신장비
1265,052330,정보기기
1266,322780,오락·문화
1267,126600,화학
1268,200130,제약
1269,294570,소프트웨어
1270,317690,의료·정밀기기
1271,365270,기타서비스
1272,060280,유통
1273,040350,컴퓨터서비스
1274,051780,유통
1275,115180,기타서비스
1276,182360,오락·문화
1277,066310,반도체
1278,016600,금융
1279,043590,반도체
1280,114120,IT부품
1281,110790,섬유·의류
1282,900250,금융
1283,083790,기타서비스
1284,045520,기계·장비
1285,036170,반도체
1286,214150,의료·정밀기기
1287,352770,기타서비스
1288,237880,화학
1289,139670,소프트웨어
1290,054780,오락·문화
1291,219130,반도체
1292,065130,기계·장비
1293,023160,금속
1294,053620,금속
1295,044490,금속
1296,124560,운송
1297,191420,제약
1298,073640,금속
1299,182690,반도체
1300,066700,제약
1301,095610,반도체
1302,131970,반도체
1303,089030,반도체
1304,054450,반도체
1305,091440,통신장비
1306,200230,통신장비
1307,215480,유통
1308,051360,정보기기
1309,045340,소프트웨어
1310,108230,기계·장비
1311,079970,소프트웨어
1312,105550,일반전기전자
1313,026150,건설
1314,322180,소프트웨어
1315,117730,기계·장비
1316,033830,방송서비스
1317,057680,디지털컨텐츠
