회사명,거래소코드,회계년도,종가
경동도시가스보통주,267290,2021/03/31,19650
경동인베스트보통주,012320,2021/03/31,40600
경동제약,011040,2021/03/31,9890
경방보통주,000050,2021/03/31,13200
경보제약보통주,214390,2021/03/31,12150
경인양행보통주,012610,2021/03/31,6680
경인전자보통주,009140,2021/03/31,29600
경창산업,024910,2021/03/31,2855
계룡건설산업보통주,013580,2021/03/31,31700
계양전기보통주,012200,2021/03/31,4325
고려산업보통주,002140,2021/03/31,4250
고려시멘트,198440,2021/03/31,3910
고려신용정보,049720,2021/03/31,6770
고려아연보통주,010130,2021/03/31,408500
고려제강보통주,002240,2021/03/31,21500
고려제약,014570,2021/03/31,11300
고바이오랩,348150,2021/03/31,30550
고영테크놀러지,098460,2021/03/31,115000
골드앤에스,035290,2021/03/31,1305
골드퍼시픽,038530,2021/03/31,1270
골프존,215000,2021/03/31,90100
골프존뉴딘홀딩스,121440,2021/03/31,7130
광동제약보통주,009290,2021/03/31,8570
광림,014200,2021/03/31,1700
광명전기보통주,017040,2021/03/31,2405
광무,029480,2021/03/31,632
광전자보통주,017900,2021/03/31,2375
광주신세계보통주,037710,2021/03/31,169500
광진실업,026910,2021/03/31,4580
교보10호기업인수목적,355150,2021/03/31,2100
교보악사 파워 K100 증권 상장지수투자신탁(주식),140950,2021/03/31,32805
교보악사 파워 K200 증권 상장지수투자신탁(주식),152870,2021/03/31,43215
교보악사 파워 고배당저변동성 증권 상장지수투자신탁(주식),192720,2021/03/31,29865
교보악사 파워 국고채 증권 상장지수투자신탁[채권],176710,2021/03/31,100745
교보증권보통주,030610,2021/03/31,7890
교촌에프앤비보통주,339770,2021/03/31,18050
구영테크,053270,2021/03/31,4870
국도화학보통주,007690,2021/03/31,68900
국동보통주,005320,2021/03/31,4075
국보디자인,066620,2021/03/31,21750
국보보통주,001140,2021/03/31,2230
국순당,043650,2021/03/31,8030
국영지앤엠,006050,2021/03/31,2850
국일신동,060480,2021/03/31,4535
국일제지,078130,2021/03/31,5800
국전약품,307750,2021/03/31,6940
국제약품보통주,002720,2021/03/31,7570
그래디언트,035080,2021/03/31,4865
그랜드코리아레저보통주,114090,2021/03/31,16650
그레이트리치과기유한공사,900290,2021/03/31,951
그리티,204020,2021/03/31,3150
그린케미칼보통주,083420,2021/03/31,13950
그린플러스,186230,2021/03/31,12450
극동유화보통주,014530,2021/03/31,6090
글로벌스탠다드테크놀로지,083450,2021/03/31,21800
글로벌에스엠테크리미티드,900070,2021/03/31,1210
글로벌텍스프리,204620,2021/03/31,3240
글로본,019660,2021/03/31,4660
금강공업보통주,014280,2021/03/31,6140
금강철강,053260,2021/03/31,7000
금비보통주,008870,2021/03/31,67700
금빛,045890,2021/03/31,240
금양보통주,001570,2021/03/31,4300
금호건설보통주,002990,2021/03/31,9820
금호석유화학보통주,011780,2021/03/31,265000
금호에이치티보통주,214330,2021/03/31,2240
금호전기보통주,001210,2021/03/31,2630
금호타이어보통주,073240,2021/03/31,3810
금화피에스시,036190,2021/03/31,29800
기가레인,049080,2021/03/31,2025
기산텔레콤,035460,2021/03/31,2915
기신정기 보통주,092440,2021/03/31,5990
기아보통주,000270,2021/03/31,82900
까뮤이앤씨보통주,013700,2021/03/31,2195
까스텔바작,308100,2021/03/31,13350
깨끗한나라보통주,004540,2021/03/31,7770
나노,187790,2021/03/31,1515
나노브릭,286750,2021/03/31,19250
나노신소재,121600,2021/03/31,28200
나노씨엠에스,247660,2021/03/31,17600
나노엔텍,039860,2021/03/31,7110
나노캠텍,091970,2021/03/31,2175
나라엠앤디,051490,2021/03/31,9920
나무가,190510,2021/03/31,10600
나무기술,242040,2021/03/31,2800
나스미디어,089600,2021/03/31,41200
나우아이비캐피탈,293580,2021/03/31,10650
나이벡,138610,2021/03/31,35950
나이스디앤비,130580,2021/03/31,10100
나이스정보통신,036800,2021/03/31,31000
나이스평가정보,030190,2021/03/31,25350
나인테크,267320,2021/03/31,4500
남광토건보통주,001260,2021/03/31,13900
남선알미늄보통주,008350,2021/03/31,3930
남성보통주,004270,2021/03/31,3970
남양유업보통주,003920,2021/03/31,303000
남해화학보통주,025860,2021/03/31,9000
남화산업,111710,2021/03/31,9690
남화토건,091590,2021/03/31,10700
내츄럴엔도텍,168330,2021/03/31,2525
네오리진,094860,2021/03/31,2200
네오셈,253590,2021/03/31,3525
네오오토,212560,2021/03/31,8540
네오위즈,095660,2021/03/31,23400
네오위즈홀딩스,042420,2021/03/31,36300
네오이뮨텍,950220,2021/03/31,11250
네오크레마,311390,2021/03/31,7840
네오티스,085910,2021/03/31,4030
네오팜,092730,2021/03/31,33550
네오펙트,290660,2021/03/31,3050
