회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)싸이토젠,217330,2020/12,642669
(주)쌍방울,102280,2020/12,89571693
(주)썸에이지,208640,2020/12,7217692
(주)쎄노텍,222420,2020/12,23408470
(주)쎄니트,037760,2020/12,54573292
(주)쎄트렉아이,099320,2020/12,81736208
(주)쎌마테라퓨틱스,015540,2020/12,9627738
(주)쎌바이오텍,049960,2020/12,42743208
(주)쏘카,403550,2020/12,259751856
(주)쏠리드,050890,2020/12,128417789
(주)씨씨에스충북방송,066790,2020/12,19273924
(주)씨아이테크,004920,2020/12,16542963
(주)씨앤씨인터내셔널,352480,2020/12,86293203
(주)씨앤투스성진,352700,2020/12,148168803
(주)씨에스,065770,2020/12,42958085
(주)씨에스에이코스믹,083660,2020/12,45590133
(주)씨엔알리서치,359090,2020/12,
(주)씨엔플러스,115530,2020/12,18076593
(주)씨유메디칼시스템,115480,2020/12,23332013
(주)씨이랩,189330,2020/12,11162209
(주)씨제이이엔엠,035760,2020/12,2718282265
(주)씨젠,096530,2020/12,1068569150
(주)씨티씨바이오,060590,2020/12,98624269
(주)씨티케이,260930,2020/12,90364258
(주)아가방앤컴퍼니,013990,2020/12,119561393
(주)아나패스,123860,2020/12,100955537
(주)아난티,025980,2020/12,59133612
(주)아리온테크놀로지,058220,2020/12,553412
(주)아모그린텍,125210,2020/12,111773856
(주)아모레퍼시픽,090430,2020/12,3016950983
(주)아모레퍼시픽그룹,002790,2020/12,52397913
(주)아모센스,357580,2020/12,43612305
(주)아모텍,052710,2020/12,206700966
(주)아미노로직스,074430,2020/12,17650767
(주)아바코,083930,2020/12,199782044
(주)아바텍,149950,2020/12,75726669
(주)아센디오,012170,2020/12,14999260
(주)아셈스,136410,2020/12,25756511
(주)아스타,246720,2020/12,873083
(주)아스트,067390,2020/12,52807401
(주)아스플로,159010,2020/12,44784379
(주)아시아경제,127710,2020/12,39098479
(주)아우딘퓨쳐스,227610,2020/12,38714862
(주)아이디스,143160,2020/12,148204029
(주)아이디스홀딩스,054800,2020/12,7149631
(주)아이마켓코리아,122900,2020/12,2079858141
(주)아이비김영,339950,2020/12,45257135
(주)아이센스,099190,2020/12,171305246
(주)아이스크림에듀,289010,2020/12,115520448
(주)아이씨디,040910,2020/12,293846913
(주)아이씨에이치,368600,2020/12,16407923
(주)아이앤씨테크놀로지,052860,2020/12,21521067
(주)아이에스시,095340,2020/12,116524220
(주)아이에스이커머스,069920,2020/12,20766745
(주)아이에이,038880,2020/12,45467368
(주)아이에이치큐,003560,2020/12,79481871
(주)아이엘사이언스,307180,2020/12,15402733
(주)아이엠,101390,2020/12,21368085
(주)아이엠비씨,052220,2020/12,34996054
(주)아이오케이컴퍼니,078860,2020/12,20968142
(주)아이윈,090150,2020/12,81603990
(주)아이윈플러스,123010,2020/12,8052983
(주)아이즈비전,031310,2020/12,17455706
(주)아이컴포넌트,059100,2020/12,29117321
(주)아이퀘스트,262840,2020/12,15270479
(주)아이톡시,052770,2020/12,8491880
(주)아이티센,124500,2020/12,119508293
(주)아이티아이즈,372800,2020/12,51313533
(주)아이티엑스에이아이,099520,2020/12,31498814
(주)아이티엠반도체,084850,2020/12,359031037
(주)아이패밀리에스씨,114840,2020/12,79218233
