,종목코드,PER,PBR,EPS,BPS,DIV,DPS
399,032830,14.35,0.44,5443,178335,3.39,2650
400,018260,20.32,2.29,9521,84595,1.24,2400
401,028050,9.38,2.07,1493,6749,0.0,0
402,009150,27.55,2.75,6806,68106,0.59,1100
403,009155,0.0,0.0,0,0,1.03,1150
404,005930,25.71,2.17,3166,37528,1.74,1416
405,005935,0.0,0.0,0,0,1.94,1417
406,001360,49.41,2.41,118,2421,0.0,0
407,010140,0.0,0.93,0,8324,0.0,0
408,010145,0.0,0.0,0,0,0.0,0
409,016360,8.99,0.71,4388,55423,4.31,1700
410,068290,94.46,5.07,487,9069,0.22,100
411,029780,10.68,0.58,3225,59525,4.64,1600
412,000810,12.56,0.67,15126,282791,4.47,8500
413,000815,0.0,0.0,0,0,5.77,8505
414,006110,20.64,0.94,450,9893,1.18,110
415,145990,17.04,0.55,3375,104070,1.74,1000
416,145995,0.0,0.0,0,0,2.53,1050
417,003230,11.26,2.36,7906,37661,0.9,800
418,002170,4.63,0.64,15112,109582,1.43,1000
419,272550,12.51,1.24,1998,20142,3.0,750
420,000070,23.5,0.59,3987,160079,2.13,2000
421,000075,0.0,0.0,0,0,3.39,2050
422,002810,7.55,0.77,1987,19563,2.33,350
423,005680,25.7,0.45,428,24220,2.27,250
424,003720,0.0,2.14,0,1285,0.0,0
425,023000,13.79,0.69,261,5249,3.19,115
426,004380,81.96,1.44,158,8969,1.16,150
427,002450,9.88,0.65,163,2478,3.11,50
428,004440,80.33,0.77,211,21895,0.22,38
429,000520,155.43,2.09,129,9580,0.75,150
430,009770,15.87,0.4,1868,73851,0.0,0
431,005500,26.5,1.71,917,14207,3.29,800
432,004690,7.39,0.25,10614,316716,3.83,3000
433,010960,5.71,0.68,907,7624,3.67,190
434,004450,8.42,0.57,4547,67349,3.52,1350
435,009470,51.74,3.57,460,6665,0.42,100
436,011230,0.0,3.42,0,1132,0.0,0
437,001820,23.64,4.65,2889,14698,0.37,250
438,000390,76.35,1.2,167,10625,0.98,125
439,001290,0.0,0.76,0,1587,0.0,0
440,041650,19.93,0.53,210,7924,2.39,100
441,075180,0.0,0.53,0,11092,2.36,140
442,007540,9.87,0.96,5441,56153,0.37,200
443,248170,8.12,1.39,5872,34375,0.42,200
444,007860,0.0,1.3,0,17990,0.21,50
445,200880,0.0,0.43,0,22608,1.02,100
446,017390,11.82,0.46,7512,192791,1.97,1750
447,004410,0.0,5.49,0,73,0.0,0
448,004415,0.0,0.0,0,0,0.0,0
449,021050,37.31,1.16,67,2159,0.4,10
450,008490,17.91,2.0,2853,25552,0.78,400
451,007610,0.0,0.72,0,4797,0.72,25
452,136490,18.8,1.26,899,13439,0.3,50
453,002820,0.0,0.27,0,17354,0.0,0
454,014910,0.0,1.57,0,1356,0.0,0
455,014915,0.0,0.0,0,0,0.06,5
456,003080,0.0,0.76,0,7324,2.43,135
457,004980,15.29,0.68,700,15851,1.4,150
458,004985,0.0,0.0,0,0,1.34,200
459,011300,0.0,0.7,0,1131,0.0,0
460,000180,0.0,0.32,0,7529,0.0,0
461,002420,0.0,1.12,0,55045,0.0,0
462,004360,55.0,0.37,240,35497,1.33,175
463,004365,0.0,0.0,0,0,2.53,180
464,004490,13.66,1.03,5701,75298,0.64,500
465,001430,38.41,0.36,483,51512,1.62,300
466,306200,10.82,0.47,8768,201388,2.11,2000
467,003030,0.0,0.24,0,232984,2.72,1500
468,019440,10.62,0.37,1304,37014,6.5,900
469,058650,10.95,0.17,7707,491403,2.67,2250
470,013000,823.33,1.78,3,1387,0.0,0
471,091090,0.0,0.64,0,2896,0.0,0
472,021820,10.64,0.19,760,41536,0.31,25
473,067830,6.16,0.33,590,10914,0.83,30
474,033530,35.18,0.55,257,16554,0.55,50
475,075580,154.29,2.34,42,2765,0.31,20
476,027970,6.01,1.78,323,1090,0.0,0
477,145210,0.0,1.12,0,588,0.0,0
478,308170,37.08,2.49,782,11636,0.0,0
479,012600,0.0,3.11,0,801,0.0,0
480,068270,147.77,15.89,2196,20421,0.0,0
481,336370,417.26,13.28,113,3551,0.0,0
482,33637K,0.0,0.0,0,0,0.0,0
483,33637L,0.0,0.0,0,0,0.0,0
484,248070,22.35,15.29,1132,1655,0.0,0
485,004430,14.05,1.13,1448,17983,0.74,150
486,017550,1500.0,2.42,3,1859,0.22,10
487,053210,7.53,0.59,1147,14620,4.05,350
488,134790,13.36,3.88,4655,16020,0.48,300
489,016590,5.88,0.78,13849,103836,0.77,625
490,029530,20.37,0.35,1473,86372,3.33,1000
491,004970,16.05,0.32,645,32378,4.83,500
492,011930,219.33,4.67,15,704,0.0,0
493,005390,33.14,1.02,51,1652,0.0,0
494,004170,5.34,0.7,52658,398826,0.71,2000
495,035510,23.65,1.33,6512,115835,1.3,2000
496,034300,10.69,0.95,4379,49395,1.71,800
